distribution,geography,category,code,bin_start,bin_end,weighted_pct,cum_pct,unweighted_n
wfh_frequency,National,Never WFH (commute 5d),1,,,62.111,62.111,4366
wfh_frequency,National,WFH 1-2 d/wk (hybrid),2,,,11.778,73.889,1120
wfh_frequency,National,WFH 3-4 d/wk (hybrid),3,,,6.6351,80.5241,610
wfh_frequency,National,WFH 5+ d/wk (remote),4,,,19.4759,100.0,1687
work_location,National,Single fixed workplace (office),1,,,62.3786,62.3786,4659
work_location,National,Varies (multi-site),2,,,16.7145,79.0931,1301
work_location,National,Home-only (remote),3,,,16.6296,95.7227,1489
work_location,National,Drive/travel for work,4,,,4.2773,100.0,334
wfh_frequency,Pacific,Never WFH (commute 5d),1,,,53.5094,53.5094,586
wfh_frequency,Pacific,WFH 1-2 d/wk (hybrid),2,,,12.4665,65.9759,164
wfh_frequency,Pacific,WFH 3-4 d/wk (hybrid),3,,,10.5317,76.5075,114
wfh_frequency,Pacific,WFH 5+ d/wk (remote),4,,,23.4925,100.0,280
work_location,Pacific,Single fixed workplace (office),1,,,58.5261,58.5261,655
work_location,Pacific,Varies (multi-site),2,,,18.2516,76.7777,199
work_location,Pacific,Home-only (remote),3,,,19.6646,96.4423,247
work_location,Pacific,Drive/travel for work,4,,,3.5577,100.0,43
wfh_frequency,PacRailMetro,Never WFH (commute 5d),1,,,53.9824,53.9824,223
wfh_frequency,PacRailMetro,WFH 1-2 d/wk (hybrid),2,,,13.277,67.2594,60
wfh_frequency,PacRailMetro,WFH 3-4 d/wk (hybrid),3,,,13.3507,80.6101,57
wfh_frequency,PacRailMetro,WFH 5+ d/wk (remote),4,,,19.3899,100.0,110
work_location,PacRailMetro,Single fixed workplace (office),1,,,60.8593,60.8593,262
work_location,PacRailMetro,Varies (multi-site),2,,,17.4181,78.2774,70
work_location,PacRailMetro,Home-only (remote),3,,,17.3386,95.6159,101
work_location,PacRailMetro,Drive/travel for work,4,,,4.3841,100.0,17
usual_commute_mode,National,Car,1,,,51.0947,51.0947,2972
usual_commute_mode,National,Van,2,,,3.6535,54.7482,204
usual_commute_mode,National,SUV/Crossover,3,,,23.609,78.3572,1585
usual_commute_mode,National,Pickup,4,,,11.9269,90.2841,758
usual_commute_mode,National,Motorcycle,7,,,0.2229,90.507,12
usual_commute_mode,National,Public/commuter bus,8,,,2.0755,92.5824,97
usual_commute_mode,National,School bus,9,,,0.0989,92.6813,7
usual_commute_mode,National,Streetcar/trolley,10,,,0.0149,92.6962,2
usual_commute_mode,National,Subway/rail,11,,,1.3048,94.001,88
usual_commute_mode,National,Commuter rail,12,,,0.6982,94.6992,49
usual_commute_mode,National,Amtrak,13,,,0.0261,94.7253,1
usual_commute_mode,National,Airplane,14,,,0.1701,94.8954,11
usual_commute_mode,National,Taxi/limo,15,,,0.0304,94.9258,2
