n_unweighted,weighted_n,mean,std,variance,min,p5,p10,p25,median,p75,p90,p95,p99,max,purpose
133,1267441787.8223052,54.06848870796041,118.10271086149694,13948.250312834347,0.0,0.0,0.0,0.0,8.33142010191747,45.0,150.0,299.93687176958207,599.746989156791,780.0,Change mode
71,718382096.3917041,177.94011998165473,208.07012018600093,43293.17491421688,0.0,0.0,1.596960462355909,5.0,79.2647538808921,387.93871545002077,488.2997539033933,585.0,600.0,600.0,Daycare/Care
1352,10846718427.402048,55.61855803807643,124.49274722216641,15498.444110922224,0.0,0.0,0.0,0.0,6.0,30.0,164.94777308646866,426.0,494.6841198417304,721.0,Drop/Pickup person
1514,10395210528.589493,60.68333682344855,76.59717518509959,5867.127246336837,0.0,0.0,5.0,15.0,35.0,75.0,144.0,225.0,389.486935382689,680.0,Health/Personal errand
1406,10864042648.106651,51.06743697944635,65.5781324769379,4300.491459162818,0.0,0.0,5.0,10.0,30.0,75.0,126.76560186239116,153.2135535166182,270.0,640.0,Meals/Coffee
626,5142082943.192025,174.45464136672726,179.91563392587537,32369.635330949597,0.0,2.0,5.0,22.22458890170844,105.0,269.49586680816,490.0,551.978592976686,603.9385413351176,865.0,Other
964,9806390062.464417,409.78454323373603,116.09816580714029,13478.784103782238,0.0,120.0,295.23158750117597,395.0,430.0,455.0,495.0,565.0,640.3467325887099,815.0,School
2567,17762106344.171337,39.87378010059649,46.44224883733148,2156.8824770686174,0.0,2.0,5.0,15.0,30.0,50.0,80.0,105.0,240.0,528.0,Shopping
1793,11467411416.214376,132.958813548223,126.63765711556728,16037.096199719987,0.0,0.0,20.0,48.75978431378018,100.0,175.0,285.0,420.0,600.0,970.0,Social/Rec
504,4469518755.204028,188.8657829014194,203.26587595428217,41317.01632746163,0.0,3.0,5.0,25.0,93.97433868955974,330.0,520.0,590.0,695.0080479635348,789.0,Work-related
